SerialNumber,Red,Green,Blue,Date,Label
115,1.3153,1.7762,3.2456,,Original
115,,,,,
115,,,,,
116,1.7953,2.3853,4.4396,,Original
116,,,,,
116,,,,,
117,1.5444,1.8919,3.6053,,Original
117,,,,,
117,,,,,
118,1.3381,1.835,3.3622,,Original
118,,,,,
118,,,,,
119,1.2791,1.8063,3.0258,,Original
119,,,,,
119,,,,,
120,1.8452,2.4238,4.0028,,Original
120,,,,,
120,,,,,
121,1.1646,1.4239,2.5854,,Original
121,1.459,1.8969,3.7282,2016-Mar-01,PreIRCorrection
121,1.5591,2.0165,4.039,2016-Mar-10,PostIRCorrection
122,1.4703,2.0096,3.2165,,Original
122,1.4046,1.7729,3.5188,2016-Mar-11,PreIRCorrection
122,1.4692,1.8519,3.679,2016-Mar-14,PostIRCorrection
123,1.5515,1.831,3.7812,,Original
123,1.8417,2.2636,5.1354,2016-Mar-01,PreIRCorrection
123,1.9975,2.511,5.5199,2016-Mar-10,PostIRCorrection
124,1.7296,2.4057,4.3139,,Original
124,,,,,
124,,,,,
125,1.5716,1.8565,3.4763,,Original
125,2.0081,2.5956,5.2528,2016-Mar-01,PreIRCorrection
125,2.0424,2.5894,5.3984,2016-Mar-10,PostIRCorrection
126,1.2971,1.5889,2.9953,,Original
126,1.519,1.9376,4.0592,2016-Mar-01,PreIRCorrection
126,1.5553,1.9796,4.1329,2016-Mar-10,PostIRCorrection
127,1.1905,1.4311,2.756,,Original
127,1.4922,1.8754,4.0054,2016-Apr-06,PreIRCorrection
127,1.5266,1.9129,4.0685,2016-Apr-13,PostIRCorrection
128,1.1486,1.4505,2.525,,Original
128,1.4837,1.9798,3.8701,2016-Mar-01,PreIRCorrection
128,1.4948,1.9991,3.9147,2016-Mar-10,PostIRCorrection
129,1.3454,1.7587,3.1977,,Original
129,1.5588,1.9917,4.0769,2016-Apr-26,PreIRCorrection
129,1.5867,2.042,4.1422,2016-Apr-27,PostIRCorrection
130,1.8062,1.5415,3.1186,,Original
130,1.5584,2.1241,4.0116,2016-Apr-21,PreIRCorrection
130,1.5749,2.0682,4.1049,2016-Apr-27,PostIRCorrection
131,2.0086,2.6416,5.4674,,Original
131,2.0734,2.6169,5.9221,2016-Mar-28,PreIRCorrection
131,2.0971,2.6479,5.9628,2016-Apr-20,PostIRCorrection
132,2.0276,2.7163,5.1898,,Original
132,2.0259,2.578,5.4518,2016-Mar-28,PreIRCorrection
132,2.0583,2.619,5.5219,2016-Apr-20,PostIRCorrection
133,2.0024,2.6716,5.3432,,Original
133,2.0063,2.5604,5.5382,2016-Mar-28,PreIRCorrection
133,2.0302,2.5951,5.5955,2016-Apr-20,PostIRCorrection
134,1.8061,2.5362,4.5846,,Original
134,1.9276,2.6028,5.2594,2016-Mar-28,PreIRCorrection
134,1.9378,2.6175,5.255,2016-Apr-20,PostIRCorrection
135,1.9072,2.5095,4.8357,,Original
135,1.9601,2.5047,5.3328,2016-Mar-01,PreIRCorrection
135,1.9703,2.5188,5.3201,2016-Mar-10,PostIRCorrection
136,2.0376,2.7736,5.4241,,Original
136,2.3327,3.1632,6.019,2016-Mar-01,PreIRCorrection
136,2.4606,3.3167,6.4394,2016-Mar-10,PostIRCorrection
137,1.9587,2.7091,5.1826,,Original
137,1.9426,2.5394,5.225,2016-Mar-01,PreIRCorrection
137,2.039,2.68,5.4449,2016-Mar-10,PostIRCorrection
138,1.9541,2.578,4.8653,,Original
138,1.9165,2.4421,5.1108,2016-Mar-07,PreIRCorrection
138,1.9807,2.4848,5.2642,2016-Apr-20,PostIRCorrection
139,2.1286,2.98,5.6762,,Original
139,,,,,
139,,,,,
140,1.8921,2.5634,4.8653,,Original
140,5.8392,7.8521,17.1186,2016-Apr-21,PreIRCorrection
140,2.1812,2.8972,6.0648,2016-Apr-27,PostIRCorrection
141,1.8625,2.4833,4.6745,,Original
141,2.2804,3.0366,6.4985,2016-Apr-21,PreIRCorrection
141,2.1828,2.7868,5.9468,2016-Apr-26,PostIRCorrection
142,1.7755,2.3959,4.4237,,Original
142,2.3166,3.1399,6.8977,2016-Apr-21,PreIRCorrection
142,2.2436,2.9215,6.1878,2016-Apr-26,PostIRCorrection
143,2.0552,2.7721,4.9667,,Original
143,,,,,
143,,,,,
144,1.8481,2.4577,4.6745,,Original
144,,,,,
144,,,,,
